specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode,A,I_major,I_minor,Le_source,buckling_axis_source,R,lambda,N_cr,N_y,lambda_bar,chi_exp,w_0_norm,w_e_norm,epsilon,section_class,cs_slenderness,cs_slenderness_norm,lambda_0,inferred_failure_mode,global_buckling_eligible,failure_mode_conflict
gardner2004_11,gardner2004,gardner2004_J,experimental,1.4301,austenitic,cold_formed,200900,455.0,4.1,measured,572.0,3.0,,RHS,50.1,100.1,2.87,2000.2,pin-pin,2000.2,minor,1.1,0.0,1.1,113.0,,829.2004000000006,1081733.220820653,362570.74462065334,reported,reported,20.910606419442587,95.65480598115143,179.6906976130659,377.2861820000003,1.449014236495459,0.2995073909173804,0.0005499450054994501,0.0,0.7029242947164113,4,32.8780487804878,1.5235584008092946,0.4,interactive,False,False
gardner2004_12,gardner2004,gardner2004_K,experimental,1.4301,austenitic,cold_formed,203900,439.0,3.8,measured,562.0,3.3,,RHS,49.9,99.7,3.7,2000.2,pin-pin,2000.2,minor,0.8,0.0,0.8,165.0,,1052.2799999999997,1336100.0921000007,441867.27190000005,reported,reported,20.491807134421258,97.6097416337747,222.26033307501666,461.9509199999999,1.4416735736373103,0.35718080180465933,0.00039996000399960006,0.0,0.7209425138349738,4,24.945945945945944,1.1270961464895761,0.4,interactive,False,False
gardner2004_13,gardner2004,gardner2004_L,experimental,1.4301,austenitic,cold_formed,206300,494.0,4.0,measured,649.0,3.2,,RHS,50.0,100.0,5.96,2000.2,pin-pin,2000.2,minor,0.0,0.0,0.0,234.0,,1645.9136000000003,1998225.659644587,636357.0772445867,reported,reported,19.662870653808334,101.7247194072651,323.8567892765776,813.0813184000001,1.5844935964211646,0.2877940923061306,0.0,0.0,0.6836131737132775,1,14.778523489932885,0.7041776672477411,0.4,global_flexural,True,False
gardner2004_14,gardner2004,gardner2004_M,experimental,1.4301,austenitic,cold_formed,197300,429.0,4.2,measured,536.0,2.9,,RHS,80.2,120.0,2.91,1999.0,pin-pin,1999.0,minor,1.1,0.0,1.1,313.0,,1131.2916000000005,2322128.809759319,1243085.4578409214,reported,reported,33.14844892005976,60.30448075627173,605.7622819719434,485.3240964000002,0.8950861004755045,0.6449298568147499,0.0005502751375687844,0.0,0.7173963790385094,4,39.23711340206186,1.781556064566358,0.4,interactive,False,False
gardner2004_15,gardner2004,gardner2004_N,experimental,1.4301,austenitic,cold_formed,192300,466.0,4.4,measured,591.0,2.8,,RHS,80.4,120.0,5.87,2000.4,pin-pin,2000.4,minor,0.5,0.0,0.5,677.0,,2214.8683999999985,4317767.155603985,2277081.616421586,reported,reported,32.06382540712363,62.38806426246229,1080.0004463947141,1032.1286743999992,0.977585957095922,0.6559259681391529,0.0002499500099980004,0.0,0.6795492970253713,3,18.442930153321978,0.8840372775916968,0.4,global_flexural,True,False
gardner2004_16,gardner2004,gardner2004_O,experimental,1.4301,austenitic,cold_formed,200300,319.0,4.7,measured,386.0,2.0,,RHS,99.9,149.8,3.79,1999.5,pin-pin,1999.5,minor,0.1,0.0,0.1,515.0,,1835.2696000000014,5853864.837524056,3120534.806217253,reported,reported,41.23486528747451,48.49051854687075,1543.003491472024,585.4510024000004,0.6159732077352011,0.8796637086430917,5.001250312578145e-05,0.0,0.8382419991872117,4,37.52506596306068,1.4581885104804568,0.4,interactive,False,False
gardner2004_17,gardner2004,gardner2004_H,experimental,1.4301,austenitic,cold_formed,193100,469.0,3.6,measured,617.0,3.0,,RHS,39.9,59.9,3.82,1000.2,pin-pin,1000.2,minor,0.2,0.0,0.2,169.0,,704.1024,330915.39340351993,170865.24732352002,reported,reported,15.577901643612197,64.20633682779334,325.5082935186034,330.2240256,1.007217596668081,0.511773786576963,0.0001999600079984003,0.0,0.678779940283074,1,13.680628272251308,0.6565059517986519,0.4,global_flexural,True,False
gardner2004_18,gardner2004,gardner2004_I,experimental,1.4301,austenitic,cold_formed,205900,370.0,5.2,measured,442.0,2.4,,RHS,50.0,99.8,1.82,1000.2,pin-pin,1000.2,minor,0.1,0.0,0.1,163.0,,532.0223999999998,706567.9035251202,241141.11886592009,reported,reported,21.28975564578029,46.98034193728492,489.8393422215289,196.84828799999994,0.633926620375922,0.8280488576055081,9.998000399920016e-05,0.0,0.7891355255815554,4,52.83516483516483,2.1808866606813506,0.4,interactive,False,False
gardner2004_19,gardner2004,gardner2004_J,experimental,1.4301,austenitic,cold_formed,200900,455.0,4.1,measured,572.0,3.0,,RHS,50.0,100.1,2.86,1000.1,pin-pin,1000.1,minor,1.0,0.0,1.0,304.0,,825.8536000000004,1077004.2310036533,359864.22976885334,reported,reported,20.87458292364732,47.90993926240597,713.3973764023362,375.76338800000013,0.725757408096552,0.8090197440949194,0.000999900009999,0.0,0.7029242947164113,4,33.0,1.5292095818211986,0.4,interactive,False,False
gardner2004_20,gardner2004,gardner2004_K,experimental,1.4301,austenitic,cold_formed,203900,439.0,3.8,measured,562.0,3.3,,RHS,50.3,99.7,3.73,999.6,pin-pin,999.6,minor,0.6,0.0,0.6,422.0,,1063.3483999999999,1352325.8991079864,453000.71426158655,reported,reported,20.64009312463107,48.43001404907021,912.3539634170288,466.80994759999993,0.7153002380376053,0.9040081561449571,0.0006002400960384153,0.0,0.7209425138349738,4,24.729222520107243,1.1173042492952943,0.4,interactive,False,False
gardner2004_21,gardner2004,gardner2004_L,experimental,1.4301,austenitic,cold_formed,206300,494.0,4.0,measured,649.0,3.2,,RHS,50.1,100.0,5.94,999.8,pin-pin,999.8,minor,0.1,0.0,0.1,624.0,,1642.0535999999997,1995620.2960003198,637946.7021655199,reported,reported,19.710540504736503,50.7241290394723,1299.4426148888283,811.1744783999999,0.7900936774797787,0.7692549711756317,0.00010002000400080017,0.0,0.6836131737132775,1,14.835016835016836,0.7068695025980951,0.4,global_flexural,True,False
gardner2004_22,gardner2004,gardner2004_M,experimental,1.4301,austenitic,cold_formed,197300,429.0,4.2,measured,536.0,2.9,,RHS,80.2,120.0,2.86,1000.6,pin-pin,1000.6,minor,1.0,0.0,1.0,448.0,,1112.4255999999987,2285427.740039253,1223829.0194568534,reported,reported,33.168427795732164,30.16724235957753,2380.271959726017,477.23058239999943,0.44776572133780357,0.9387495615788107,0.0009994003597841295,0.0,0.7173963790385094,4,39.95804195804196,1.814289732506312,0.4,interactive,False,False
