specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,w_0,w_e,w_total,N_u,failure_mode,buckling_axis,A,I_major,I_minor,Le_source,buckling_axis_source,R,lambda,N_cr,N_y,lambda_bar,chi,epsilon,section_class,cs_slenderness,lambda_0,inferred_failure_mode
buchanan2018_22,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.77,,2.37,1154.0,pin-pin,1154.0,0.05,0.96,1.01,295.3,global_flexural,-,643.2976444902741,600725.5653441817,600725.5653441817,reported,symmetric,30.558503112881688,37.76362983936673,970.333702406225,372.79098498211386,0.6198293582743689,0.7921328891957198,0.6487479526570138,3,37.45569620253164,0.4,global_flexural
buchanan2018_23,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.63,,2.35,1656.6,pin-pin,1656.6,1.0,0.62,1.62,243.4,global_flexural,-,636.9830432565594,593171.4212019657,593171.4212019657,reported,symmetric,30.515899339524633,54.286455121915665,464.94493759435636,369.1316735671762,0.8910250096279297,0.6593853018568048,0.6487479526570138,3,37.714893617021275,0.4,global_flexural
buchanan2018_24,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.77,,2.3,2152.8,pin-pin,2152.8,2.75,0.26,3.01,164.7,global_flexural,-,624.8030885385905,584374.4939811883,584374.4939811883,reported,symmetric,30.582574491039843,70.39302726559966,271.2317345893653,362.0733898081132,1.1553885339576897,0.4548801558912835,0.6487479526570138,4,38.595652173913045,0.4,interactive
buchanan2018_25,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.72,,2.33,2653.4,pin-pin,2653.4,2.0,0.67,2.67,126.4,global_flexural,-,632.36710117064,590366.9382745263,590366.9382745263,reported,symmetric,30.55458435325212,86.8413056883093,180.37369303750478,366.4567351283859,1.4253606182841374,0.34492475613994794,0.6487479526570138,4,38.07725321888412,0.4,interactive
buchanan2018_26,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.67,,2.32,3082.5,pin-pin,3082.5,1.25,1.75,3.0,100.5,global_flexural,-,629.3615394789508,587013.7603752037,587013.7603752037,reported,symmetric,30.540352199999262,100.93203836726134,132.8919671007146,364.715012128052,1.656637374018723,0.275557618025096,0.6487479526570138,4,38.2198275862069,0.4,interactive
buchanan2018_27,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.6,438.0,CHS,80.01,,1.34,448.9,pin-pin,448.9,0.27,0.08,0.35000000000000003,119.4,global_flexural,-,331.1797860375986,256282.0078148955,256282.0078148955,reported,symmetric,27.81807977736783,16.136987297204282,2745.786175144637,119.22472297353549,0.20837701092250657,1.0014701399348473,0.8246070893776332,3,59.7089552238806,0.4,yielding
buchanan2018_28,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.6,438.0,CHS,80.04,,1.34,698.6,pin-pin,698.6,0.08,0.53,0.61,111.1,global_flexural,-,331.3060780622734,256575.25447841125,256575.25447841125,reported,symmetric,27.82868484136467,25.10359379116609,1135.0249618953899,119.27018810241843,0.32416285278493423,0.9314984889987545,0.8246070893776332,3,59.73134328358209,0.4,yielding
buchanan2018_29,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.6,438.0,CHS,80.03,,1.34,899.1,pin-pin,899.1,0.53,0.31,0.8400000000000001,105.8,global_flexural,-,331.26398072071515,256477.48074682665,256477.48074682665,reported,symmetric,27.825149819902144,32.3124944814102,684.9849836441232,119.25503305945746,0.417251429370138,0.8871742960085456,0.8246070893776332,3,59.723880597014926,0.4,global_flexural
buchanan2018_30,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.6,438.0,CHS,80.13,,1.34,1099.1,pin-pin,1099.1,0.28,0.71,0.99,97.8,global_flexural,-,331.6849541362955,257456.33659956328,257456.33659956328,reported,symmetric,27.860500040379772,39.450117492759034,460.1262143597653,119.40658348906638,0.50941959687277,0.8190503165091829,0.8246070893776332,3,59.79850746268656,0.4,global_flexural
buchanan2018_31,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.6,438.0,CHS,80.0,,1.34,1599.3,pin-pin,1599.3,0.77,0.8,1.57,77.9,global_flexural,-,331.1376886960411,256184.30860823425,256184.30860823425,reported,symmetric,27.8145447562961,57.49869408299348,216.24220347383172,119.20956793057479,0.7424809714659418,0.6534710372020421,0.8246070893776332,3,59.70149253731343,0.4,global_flexural
buchanan2018_32,buchanan2018,buchanan2018_F,experimental,1.4512,ferritic,cold_formed,219550,337.0,5.6,measured,346.0,2.4,467.0,CHS,101.7,,1.34,799.3,pin-pin,799.3,0.3,0.38,0.6799999999999999,137.5,global_flexural,-,422.488919877125,532015.2220838692,532015.2220838692,reported,symmetric,35.48578095519388,22.524514847488803,1804.4199473234987,142.37876599859112,0.28090133457703725,0.9657338932222562,0.8538391302939227,4,75.8955223880597,0.4,local
buchanan2018_33,buchanan2018,buchanan2018_F,experimental,1.4512,ferritic,cold_formed,219550,337.0,5.6,measured,346.0,2.4,467.0,CHS,101.82,,1.34,1099.5,pin-pin,1099.5,0.69,0.33,1.02,121.2,global_flexural,-,422.9940879758226,533925.662278268,533925.662278268,reported,symmetric,35.528203585320774,30.94724441554038,957.02551041819,142.54900764785222,0.3859404882487948,0.8502339090245229,0.8538391302939227,4,75.98507462686567,0.4,local
buchanan2018_34,buchanan2018,buchanan2018_F,experimental,1.4512,ferritic,cold_formed,219550,337.0,5.6,measured,346.0,2.4,467.0,CHS,101.71,,1.34,1599.3,pin-pin,1599.3,0.84,0.58,1.42,104.1,global_flexural,-,422.53101721868256,532174.2510814734,532174.2510814734,reported,symmetric,35.48931617402625,45.06426644451628,450.84490907029874,142.39295280269604,0.5619926853790191,0.7310755058520634,0.8538391302939227,4,75.90298507462686,0.4,interactive
