specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
huang2013_11,huang2013,huang2013_D,experimental,1.4162,lean_duplex,cold_formed,194000,613.0,8.0,measured,,,738.0,RHS,50.7,70.5,2.553,900.0,pin-pin,1010.0,reported,minor,reported,0.32,0.29,0.61,0.000603960396039604,270.7,global_flexural,592.7759639999999,417923.64297075226,249141.37949823946,20.501122452624635,467.6323987690656,0.5951067982280902,4,1.4020186837280815,0.4,526.3568220897163,0.8879523699609999,322.65673194099605,0.8306499993512834,0.8389721124724671,0.0031597938144329895,1.3905325443786982,1.203915171288744,0.776950314335517,0.7601413215256863,0.7079516423654274,250.68824930402752,245.26471461678784,228.42536329788962,True,interactive,False,True
huang2013_12,huang2013,huang2013_D,experimental,1.4162,lean_duplex,cold_formed,194000,613.0,8.0,measured,,,738.0,RHS,50.7,70.4,2.513,1200.0,pin-pin,1310.0,reported,minor,reported,0.38,-0.18,0.2,0.00015267175572519084,211.2,global_flexural,583.3879239999997,410744.7513604046,245490.53840509336,20.513447849851797,273.9010154793595,0.5951067982280902,4,1.4238993217462734,0.4,515.066927193904,0.8828892508818957,315.7360263698631,1.0736562294879932,0.6689132134468357,0.0031597938144329895,1.388560157790927,1.203915171288744,0.6676299611151557,0.5875557189296136,0.5363051561271893,210.79483100796548,185.51250796572435,169.3308589172678,True,interactive,False,True
huang2013_13,huang2013,huang2013_D,experimental,1.4162,lean_duplex,cold_formed,194000,613.0,8.0,measured,,,738.0,RHS,50.8,70.5,2.527,1550.0,pin-pin,1660.0,reported,minor,reported,0.44,-0.05,0.39,0.00023493975903614457,148.3,global_flexural,587.5072840000003,414756.26600523526,248082.93666241862,20.5490533361456,172.37814125511844,0.5951067982280902,4,1.4175702136851007,0.4,519.5866554115346,0.8843918527681341,318.5066197672707,1.359308819812261,0.46561041685212445,0.0031597938144329895,1.3877952755905512,1.203915171288744,0.515827199151548,0.4324735832086694,0.38317340889630624,164.2943775857783,137.74569912643278,122.04326725226476,True,interactive,False,True
huang2013_14,huang2013,huang2013_E,experimental,1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.4,100.4,2.497,900.0,pin-pin,1010.0,reported,minor,reported,0.38,0.16,0.54,0.0005346534653465347,335.2,interactive,728.1551639999998,964666.1547751514,326858.39213695115,21.186921286028333,632.4797618993911,0.5984105932344765,4,2.079790055053204,0.4,531.7797611286446,0.730311048276305,332.3623507054029,0.7249075019558201,1.0085378181029665,0.003125,1.9920634920634923,1.1632,0.8109333562223997,0.8086742684208115,0.7865539292448958,269.5237165394986,268.77288080731284,261.42091288040467,True,interactive,False,True
huang2013_15,huang2013,huang2013_E,experimental,1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.4,100.1,2.49,900.0,pin-pin,1010.0,reported,minor,reported,0.32,0.3,0.62,0.0006138613861386139,336.0,interactive,724.6896000000006,955135.2240195206,325202.3242891198,21.18365066955974,629.2752261637851,0.5984105932344765,4,2.079384709462514,0.4,529.4968814990581,0.7306533466177211,330.93555093691134,0.7251893120790123,1.015303430074982,0.003125,1.9861111111111112,1.1632,0.8107704278968525,0.8084946518562561,0.7863473920291506,268.31275823940024,267.55962304159647,260.23030740897036,True,interactive,False,True
huang2013_16,huang2013,huang2013_E,experimental,1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.5,100.1,2.48,1200.0,pin-pin,1310.0,reported,minor,reported,0.44,0.23,0.67,0.0005114503816793894,249.0,global_flexural,722.3743999999997,952826.6807581857,325511.8108445865,21.227663870378112,374.4155702952389,0.5984105932344765,4,2.0882083011148755,0.4,526.9488751847589,0.7294678150066768,329.3430469904743,0.9378800526847576,0.756050574850004,0.003125,1.9821782178217822,1.1632,0.6969116557377834,0.6585870971680671,0.6289546430807403,229.52300818385802,216.9010812899428,207.14183857101727,True,interactive,False,True
huang2013_17,huang2013,huang2013_E,experimental,1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.8,100.6,2.513,1200.0,pin-pin,1310.0,reported,minor,reported,0.44,0.18,0.62,0.0004732824427480916,252.2,global_flexural,735.6757239999997,979894.2695454825,335163.3951822824,21.344455379049954,385.5171750102098,0.5984105932344765,4,2.070187231665333,0.4,538.7823816561641,0.7323639534096742,336.7389885351026,0.9345979758423526,0.7489480238006654,0.003125,1.9803149606299213,1.1632,0.6985744811589172,0.6611482288873274,0.6313185287224157,235.23726420188785,222.6343858672931,212.58956280545536,True,interactive,False,True
huang2013_18,huang2013,huang2013_E,experimental,1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.4,100.2,2.51,1550.0,pin-pin,1660.0,reported,minor,reported,0.7,-0.52,0.17999999999999994,0.000108433734939759,193.7,global_flexural,730.8116,964479.0808019862,327762.5017635867,21.177608567407614,234.78634271432387,0.5984105932344765,4,2.0641170944905785,0.4,535.6524953599006,0.7329556555477508,334.7828095999379,1.1941122660082997,0.5785840683739693,0.003125,1.9880952380952381,1.1632,0.5698369503996566,0.47890762504919715,0.4645516999216361,190.77161526865748,160.3300402528038,155.52392330419258,True,interactive,False,True
huang2013_19,huang2013,huang2013_F,experimental,1.4162,lean_duplex,cold_formed,202000,664.0,4.0,measured,,,788.0,RHS,50.3,150.4,2.473,900.0,pin-pin,1010.0,reported,minor,reported,0.32,-0.16,0.16,0.00015841584158415842,333.5,interactive,968.1992839999994,2629504.704410096,464222.11809764913,21.896794160403413,907.2650811603132,0.5834665039368531,4,3.283577327221978,0.4,530.2263529123373,0.5476417527616533,352.07029833379204,0.6229419759622196,0.9472540046073814,0.003287128712871287,2.9900596421471177,1.1867469879518073,0.909761215200256,0.9140315238890011,0.859193190490955,320.2999024480673,321.8033513020912,302.4964029025131,True,interactive,False,True
huang2013_20,huang2013,huang2013_F,experimental,1.4162,lean_duplex,cold_formed,202000,664.0,4.0,measured,,,788.0,RHS,50.5,149.9,2.459,1200.0,pin-pin,1310.0,reported,minor,reported,0.51,-0.49,0.020000000000000018,1.5267175572519097e-05,284.5,interactive,961.3804760000003,2598847.712428232,464543.02905245265,21.98190490043906,539.6776974852028,0.5834665039368531,4,3.2915560394332157,0.4,525.2711712254409,0.5463717896695052,348.78005769369275,0.8039121401046236,0.8157003066094304,0.003287128712871287,2.9683168316831683,1.1867469879518073,0.7552965528533881,0.7542979230729271,0.7279376972184868,263.432375280052,263.0840731276081,253.89015203327767,True,interactive,False,True
huang2013_21,huang2013,huang2013_F,experimental,1.4162,lean_duplex,cold_formed,202000,664.0,4.0,measured,,,788.0,RHS,50.3,150.5,2.487,1550.0,pin-pin,1660.0,reported,minor,reported,0.38,-0.24,0.14,8.433734939759037e-05,230.0,interactive,974.0385240000005,2647879.202026017,466817.01296257804,21.891991493652228,337.7393118083348,0.5834665039368531,4,3.2667094037896054,0.4,535.5158477449571,0.5497891865157448,355.58252290265153,1.0260756855160025,0.6468259410571974,0.003287128712871287,2.992047713717694,1.1867469879518073,0.6108862138674039,0.568041797191257,0.5674941083774211,217.22046113342023,201.9857353594235,201.79098678923415,True,interactive,False,True
